book name,link of the book  at amazon,price of book at amazon
Chip War: The Fight for the World's Most Critical Technology,/sspa/click?ie=UTF8&spc=MTo2OTE4NjM4OTA2Mjc5NjYxOjE2ODUzNTI0ODA6c3BfYXRmOjIwMTAzMzE0NDY1ODk4OjowOjo&url=%2FChip-War-Dominate-Critical-Technology%2Fdp%2F1398504106%2Fref%3Dsr_1_1_sspa%3Fkeywords%3Dautomation%2Bbooks%26qid%3D1685352480%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,495
Automatic Control Systems,/sspa/click?ie=UTF8&spc=MTo2OTE4NjM4OTA2Mjc5NjYxOjE2ODUzNTI0ODA6c3BfYXRmOjIwMDE1NzUyOTY1ODA4OjowOjo&url=%2FAutomatic-Control-Systems-Kuo%2Fdp%2F8120309685%2Fref%3Dsr_1_2_sspa%3Fkeywords%3Dautomation%2Bbooks%26qid%3D1685352480%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,630
"""Software Automation Testing Secrets Revealed""",/sspa/click?ie=UTF8&spc=MTo2OTE4NjM4OTA2Mjc5NjYxOjE2ODUzNTI0ODA6c3BfYXRmOjIwMDE0NzY3MTEwOTk4OjowOjo&url=%2FSoftware-Automation-Testing-Secrets-Revealed%2Fdp%2F9383952954%2Fref%3Dsr_1_3_sspa%3Fkeywords%3Dautomation%2Bbooks%26qid%3D1685352480%26sr%3D8-3-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,304
Modern Recording Techniques (Audio Engineering Society Presents),/sspa/click?ie=UTF8&spc=MTo2OTE4NjM4OTA2Mjc5NjYxOjE2ODUzNTI0ODA6c3BfYXRmOjIwMDQwMjg1Mjk2NTk4OjowOjo&url=%2FRecording-Techniques-Engineering-Society-Presents%2Fdp%2F1138954373%2Fref%3Dsr_1_4_sspa%3Fkeywords%3Dautomation%2Bbooks%26qid%3D1685352480%26sr%3D8-4-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,"4,318"
"Distributed Systems: An Algorithmic Approach, Second Edition (Chapman & Hall/CRC Computer and Information Science Series)",/sspa/click?ie=UTF8&spc=MTo2OTE4NjM4OTA2Mjc5NjYxOjE2ODUzNTI0ODA6c3BfbXRmOjIwMDc5Nzg0OTU1Nzk4OjowOjo&url=%2FDistributed-Systems-Algorithmic-Approach-Second%2Fdp%2F0367659123%2Fref%3Dsr_1_21_sspa%3Fkeywords%3Dautomation%2Bbooks%26qid%3D1685352480%26sr%3D8-21-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,"3,928"
"Electronic Devices And Circuits, 5E",/sspa/click?ie=UTF8&spc=MTo2OTE4NjM4OTA2Mjc5NjYxOjE2ODUzNTI0ODA6c3BfbXRmOjIwMTYxMDg2MDY2MTk4OjowOjo&url=%2FElectronic-Devices-Circuits-David-Bell%2Fdp%2F019569340X%2Fref%3Dsr_1_22_sspa%3Fkeywords%3Dautomation%2Bbooks%26qid%3D1685352480%26sr%3D8-22-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,318
"Modern Computer Architecture and Organization: Learn x86, ARM, and RISC-V architectures and the design of smartphones, PCs, and cloud servers",/sspa/click?ie=UTF8&spc=MTo2OTE4NjM4OTA2Mjc5NjYxOjE2ODUzNTI0ODA6c3BfbXRmOjIwMDI3OTQyNDE1MDk4OjowOjo&url=%2FModern-Computer-Architecture-Organization-architectures%2Fdp%2F1838984399%2Fref%3Dsr_1_23_sspa%3Fkeywords%3Dautomation%2Bbooks%26qid%3D1685352480%26sr%3D8-23-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,"4,719"
Lectures on Cyber Law,/sspa/click?ie=UTF8&spc=MTo2OTE4NjM4OTA2Mjc5NjYxOjE2ODUzNTI0ODA6c3BfbXRmOjIwMDI4ODc2MzQ0MTAzOjowOjo&url=%2FLectures-Cyber-Law-Rega-Surya%2Fdp%2FB07CM1C9RR%2Fref%3Dsr_1_24_sspa%3Fkeywords%3Dautomation%2Bbooks%26qid%3D1685352480%26sr%3D8-24-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,290
"Principles of Electric Machines, 3ed, An Indian Adaptation",/sspa/click?ie=UTF8&spc=MTo2OTE4NjM4OTA2Mjc5NjYxOjE2ODUzNTI0ODA6c3BfYnRmOjIwMDUyMDUzMjE2MzA2OjowOjo&url=%2FPrinciples-Electric-Machines-Indian-Adaptation%2Fdp%2F9390395054%2Fref%3Dsr_1_57_sspa%3Fkeywords%3Dautomation%2Bbooks%26qid%3D1685352480%26sr%3D8-57-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,735
"Engineering Mechanics: Dynamics, Si Version",/sspa/click?ie=UTF8&spc=MTo2OTE4NjM4OTA2Mjc5NjYxOjE2ODUzNTI0ODA6c3BfYnRmOjIwMDQ2NjcyNDk2MjA2OjowOjo&url=%2FEngineering-Mechanics-Dynamics-SI-Version%2Fdp%2F8126565373%2Fref%3Dsr_1_58_sspa%3Fkeywords%3Dautomation%2Bbooks%26qid%3D1685352480%26sr%3D8-58-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,669
