COURSE NAME,COURSE URL,COURSE LEVEL,COURSE DURATION
Using Robots and RPA in the Workplace,/web/en/app/toc/lex_auth_01350157708231475210972/overview," Beginner",25m 14s
Introduction to Robotic Process Automation,/web/en/app/toc/lex_auth_012988484517273600535_shared/overview," Beginner",4h 20m
Implementing Robotic Process Automation,/web/en/app/toc/lex_auth_01350159801825689612896/overview," Intermediate",1h 2m
Robotic Process Automation for Developers,/web/en/app/toc/lex_auth_0130944417087242242659_shared/overview," Advanced",6h 25m
Prelude,/web/en/app/toc/lex_auth_01297885033735782424325_shared/overview," Beginner",2m 30s
Building an RPG with Unity 5.x,/web/en/app/toc/lex_auth_013177174055436288153_shared/overview," Beginner",5h 21m
Learning Axure RP,/web/en/app/toc/lex_auth_0130944298469949442281_shared/overview," Advanced",5h 20m
CCSP 2019: Secure Cloud Computing,/web/en/app/toc/lex_auth_0135015543757291527809/overview," Intermediate",1h 21m
Vulnerabilities and Exploits,/web/en/app/toc/lex_auth_0135015671517593608922/overview," Beginner",50m 39s
CompTIA Cloud+: Cloud Disaster Recovery,/web/en/app/toc/lex_auth_01350156940043878410340/overview," Intermediate",1h 26m
"Windows Exploits and Forensics: FTP, RDP, & Other Services",/web/en/app/toc/lex_auth_0135015734040903689604/overview," Intermediate",1h 12m
Unity 5.x Game Development Projects,/web/en/app/toc/lex_auth_0130944509067100162767_shared/overview," Advanced",4h 54m
Advanced Cloud Native Go,/web/en/app/toc/lex_auth_0130944001533460481455_shared/overview," Advanced",2h 9m
Modern Golang Programming,/web/en/app/toc/lex_auth_0130944403690045442492_shared/overview," Advanced",15h 30m
Microsoft Azure Architect Design: Azure Site Recovery Design,/web/en/app/toc/lex_auth_0135015632187228168290/overview," Advanced",53m 21s
System Security Certified Practitioner (SSCP 2018): Identity Management,/web/en/app/toc/lex_auth_0135015539473285127038/overview," Intermediate",55m 8s
Raspberry Pi Course,/web/en/app/toc/lex_auth_01374907891258982450/overview," Intermediate",1h 6m
